"TI","AB","AU","PY","SO"
"Application of artificial intelligence using a convolutional neural network for detecting gastric cancer in endoscopic images","Background Image recognition using artificial intelligence with deep learning through convolutional neural networks (CNNs) has dramatically improved and been increasingly applied to medical fields for diagnostic imaging. We developed a CNN that can automatically detect gastric cancer in endoscopic images. Methods A CNN-based diagnostic system was constructed based on Single Shot MultiBox Detector architecture and trained using 13,584 endoscopic images of gastric cancer. To evaluate the diagnostic accuracy, an independent test set of 2296 stomach images collected from 69 consecutive patients with 77 gastric cancer lesions was applied to the constructed CNN. Results The CNN required 47 s to analyze 2296 test images. The CNN correctly diagnosed 71 of 77 gastric cancer lesions with an overall sensitivity of 92.2%, and 161 non-cancerous lesions were detected as gastric cancer, resulting in a positive predictive value of 30.6%. Seventy of the 71 lesions 98.6%) with a diameter of 6 mm or more as well as all invasive cancers were correctly detected. All missed lesions were superficially depressed and differentiated-type intramucosal cancers that were difficult to distinguish from gastritis even for experienced endoscopists. Nearly half of the false-positive lesions were gastritis with changes in color tone or an irregular mucosal surface. Conclusion The constructed CNN system for detecting gastric cancer could process numerous stored endoscopic images in a very short time with a clinically relevant diagnostic ability. It may be well applicable to daily clinical practice to reduce the burden of endoscopists.","Hirasawa, T; Aoyama, K; Tanimoto, T; Ishihara, S; Shichijo, S; Ozawa, T; Ohnishi, T; Fujishiro, M; Matsuo, K; Fujisaki, J; Tada, T",2018,"GASTRIC CANCER"
"The coming of age of artificial intelligence in medicine","This paper is based on a panel discussion held at the Artificial Intelligence in Medicine Europe (AIME) conference in Amsterdam, The Netherlands, in July 2007. It had been more than 15 years since Edward Shortliffe gave a talk at AIME in which he characterized artificial intelligence (AI) in medicine as being in its ""adolescence"" (Shortliffe EH. The adolescence of Al in medicine: will the field come of age in the '90s? Artificial Intelligence in Medicine 1993;5:93-106). In this article, the discussants reflect on medical Al research during the subsequent years and characterize the maturity and influence that has been achieved to date. Participants focus on their personal areas of expertise, ranging from clinical decision-making, reasoning under uncertainty, and knowledge representation to systems integration, translational bioinformatics, and cognitive issues in both the modeling of expertise and the creation of acceptable systems. (C) 2008 Elsevier B.V. All rights reserved.","Patel, VL; Shortliffe, EH; Stefanelli, M; Szolovits, P; Berthold, MR; Bellazzi, R; Abu-Hanna, A",2009,"ARTIFICIAL INTELLIGENCE IN MEDICINE"
"Knowledge warehouse: an architectural integration of knowledge management, decision support, artificial intelligence and data warehousing","Decision support systems (DSS) are becoming increasingly more critical to the daily operation of organizations. Data warehousing, an integral part of this, provides an infrastructure that enables businesses to extract, cleanse, and store vast amounts of data. The basic purpose of a data warehouse is to empower the knowledge workers with information that allows them to make decisions based on a solid foundation of fact, However, only a fraction of the needed information exists on computers; the vast majority of a firm's intellectual assets exist as knowledge in the minds of its employees. What is needed is a new generation of knowledge-enabled systems that provides the infrastructure needed to capture, cleanse, store, organize, leverage, and disseminate not only data and information but also the knowledge of the firm. The purpose of this paper is to propose, as an extension to the data warehouse model, a knowledge warehouse (KW) architecture that will not only facilitate the capturing and coding of knowledge but also enhance the retrieval and sharing of knowledge across the organization. The knowledge warehouse proposed here suggests a different direction for DSS in the next decade, This new direction is based on an expanded purpose of DSS. That is, the purpose of DSS in knowledge improvement. This expanded purpose of DSS also suggests that the effectiveness of a DSS will, in the future, be measured based on how well it promotes and enhances knowledge, how well it improves the mental model(s) and understanding of the decision maker(s) and thereby how well it improves his/her decision making. (C) 2002 Elsevier Science B.V. All rights reserved.","Nemati, HR; Steiger, DM; Iyer, LS; Herschel, RT",2002,"DECISION SUPPORT SYSTEMS"
"AIDR: Artificial Intelligence for Disaster Response","We present AIDR (Artificial Intelligence for Disaster Response), a platform designed to perform automatic classification of crisis-related microblog communications. AIDR enables humans and machines to work together to apply human intelligence to large-scale data at high speed. The objective of AIDR is to classify messages that people post during disasters into a set of user-defined categories of information (e.g., ""needs"", ""damage"", etc.) For this purpose, the system continuously ingests data from Twitter, processes it (i.e., using machine learning classification techniques) and leverages human-participation (through crowd-sourcing) in real-time. AIDR has been successfully tested to classify informative vs. non-informative tweets posted during the 2013 Pakistan Earthquake. Overall, we achieved a classification quality (measured using AUC) of 80%.","Imran, M; Castillo, C; Lucas, J; Meier, P; Vieweg, S",2014,"WWW'14 COMPANION: PROCEEDINGS OF THE 23RD INTERNATIONAL CONFERENCE ON WORLD WIDE WEB"
"Creativity and artificial intelligence","Creativity is a fundamental feature of human intelligence, and a challenge for AT. AI techniques can be used to create new ideas in three ways: by producing novel combinations of familiar ideas; by exploring the potential of conceptual spaces; and by making transformations that enable the generation of previously impossible ideas. Al will have less difficulty in modelling the generation of new ideas than in automating their evaluation. (C) 1998 Elsevier Science B.V. All rights reserved.","Boden, MA",1998,"ARTIFICIAL INTELLIGENCE"
"A review of artificial intelligence based building energy use prediction: Contrasting the capabilities of single and ensemble prediction models","Building energy use prediction plays an important role in building energy management and conservation as it can help us to evaluate building energy efficiency, conduct building commissioning, and detect and diagnose building system faults. Building energy prediction can be broadly classified into engineering, Artificial Intelligence (AI) based, and hybrid approaches. While engineering and hybrid approaches use thermodynamic equations to estimate energy use, the AI-based approach uses historical data to predict future energy use under constraints. Owing to the ease of use and adaptability to seek optimal solutions in a rapid manner, the AI-based approach has gained popularity in recent years. For this reason and to discuss recent developments in the AI based approaches for building energy use prediction, this paper conducts an in-depth review of single AI-based methods such as multiple linear regression, artificial neural networks, and support vector regression, and ensemble prediction method that, by combining multiple single AI-based prediction models improves the prediction accuracy manifold. This paper elaborates the principles, applications, advantages and limitations of these AI-based prediction methods and concludes with a discussion on the future directions of the research on AI-based methods for building energy use prediction.","Wang, ZY; Srinivasan, RS",2017,"RENEWABLE & SUSTAINABLE ENERGY REVIEWS"
"INTELLIGENT 5G: WHEN CELLULAR NETWORKS MEET ARTIFICIAL INTELLIGENCE","5G cellular networks are assumed to be the key enabler and infrastructure provider in the ICT industry, by offering a variety of services with diverse requirements. The standardization of 5G cellular networks is being expedited, which also implies more of the candidate technologies will be adopted. Therefore, it is worthwhile to provide insight into the candidate techniques as a whole and examine the design philosophy behind them. In this article, we try to highlight one of the most fundamental features among the revolutionary techniques in the 5G era, i.e., there emerges initial intelligence in nearly every important aspect of cellular networks, including radio resource management, mobility management, service provisioning management, and so on. However, faced with ever-increasingly complicated configuration issues and blossoming new service requirements, it is still insufficient for 5G cellular networks if it lacks complete AI functionalities. Hence, we further introduce fundamental concepts in AI and discuss the relationship between AI and the candidate techniques in 5G cellular networks. Specifically, we highlight the opportunities and challenges to exploit AI to achieve intelligent 5G networks, and demonstrate the effectiveness of AI to manage and orchestrate cellular network resources. We envision that AI-empowered 5G cellular networks will make the acclaimed ICT enabler a reality.","Li, RP; Zhao, ZF; Zhou, X; Ding, GR; Chen, Y; Wang, ZY; Zhang, HG",2017,"IEEE WIRELESS COMMUNICATIONS"
"Artificial intelligence in medicine","Introduction: Artificial intelligence is a branch of computer science capable of analysing complex medical data. Their potential to exploit meaningful relationship with in a data set can be used in the diagnosis, treatment and predicting outcome in many clinical scenarios. Methods: Medline and internet searches were carried out using the keywords 'artificial intelligence' and 'neural networks (computer)'. Further references were obtained by cross-referencing from key articles. An overview of different artificial intelligent techniques is presented in this paper along with the review of important clinical applications. Results: The proficiency of artificial intelligent techniques has been explored in almost every field of medicine. Artificial neural network was the most commonly used analytical tool whilst other artificial intelligent techniques such as fuzzy expert systems, evolutionary computation and hybrid intelligent systems have all been used in different clinical settings. Discussion: Artificial intelligence techniques have the potential to be applied in almost every field of medicine. There is need for further clinical trials which are appropriately designed before these emergent techniques find application in the real clinical setting.","Ramesh, AN; Kambhampati, C; Monson, JRT; Drew, PJ",2004,"ANNALS OF THE ROYAL COLLEGE OF SURGEONS OF ENGLAND"
"Screening for cardiac contractile dysfunction using an artificial intelligence-enabled electrocardiogram","Asymptomatic left ventricular dysfunction (ALVD) is present in 3-6% of the general population, is associated with reduced quality of life and longevity, and is treatable when found(1-4). An inexpensive, noninvasive screening tool for ALVD in the doctor's office is not available. We tested the hypothesis that application of artificial intelligence (AI) to the electrocardiogram (ECG), a routine method of measuring the heart's electrical activity, could identify ALVD. Using paired 12-lead ECG and echocardiogram data, including the left ventricular ejection fraction (a measure of contractile function), from 44,959 patients at the Mayo Clinic, we trained a convolutional neural network to identify patients with ventricular dysfunction, defined as ejection fraction <= 35%, using the ECG data alone. When tested on an independent set of 52,870 patients, the network model yielded values for the area under the curve, sensitivity, specificity, and accuracy of 0.93, 86.3%, 85.7%, and 85.7%, respectively. In patients without ventricular dysfunction, those with a positive AI screen were at 4 times the risk (hazard ratio, 4.1; 95% confidence interval, 3.3 to 5.0) of developing future ventricular dysfunction compared with those with a negative screen. Application of AI to the ECG-a ubiquitous, low-cost test-permits the ECG to serve as a powerful screening tool in asymptomatic individuals to identify ALVD.","Attia, ZI; Kapa, S; Lopez-Jimenez, F; McKie, PM; Ladewig, DJ; Satam, G; Pellikka, PA; Enriquez-Sarano, M; Noseworthy, PA; Munger, TM; Asirvatham, SJ; Scott, CG; Carter, RE; Friedman, PA",2019,"NATURE MEDICINE"
"Artificial intelligence in short term electric load forecasting: a state-of-the-art survey for the researcher","Intelligent solutions, based on artificial intelligence (AI) technologies, to solve complicated practical problems in various sectors are becoming more and more widespread nowadays. AI-based systems are being developed and deployed worldwide in myriad applications, mainly because of their symbolic reasoning, flexibility and explanation capabilities. This paper provides an overview for the researcher of AI technologies, as well as their current use in the field of short term electric load forecasting (STELF). The history of AI in STELF is outlined, leading to a discussion of the various approaches as well as the current research directions. The paper concludes by sharing thoughts and estimations on AI future prospects in this area. This review reveals that although still regarded as a novel methodology, AI technologies are shown to have matured to the point of offering real practical benefits in many of their applications. (C) 2002 Elsevier Science Ltd. All rights reserved.","Metaxiotis, K; Kagiannas, A; Askounis, D; Psarras, J",2003,"ENERGY CONVERSION AND MANAGEMENT"
"Artificial intelligence-enabled rapid diagnosis of patients with COVID-19","For diagnosis of coronavirus disease 2019 (COVID-19), a SARS-CoV-2 virus-specific reverse transcriptase polymerase chain reaction (RT-PCR) test is routinely used. However, this test can take up to 2 d to complete, serial testing may be required to rule out the possibility of false negative results and there is currently a shortage of RT-PCR test kits, underscoring the urgent need for alternative methods for rapid and accurate diagnosis of patients with COVID-19. Chest computed tomography (CT) is a valuable component in the evaluation of patients with suspected SARS-CoV-2 infection. Nevertheless, CT alone may have limited negative predictive value for ruling out SARS-CoV-2 infection, as some patients may have normal radiological findings at early stages of the disease. In this study, we used artificial intelligence (AI) algorithms to integrate chest CT findings with clinical symptoms, exposure history and laboratory testing to rapidly diagnose patients who are positive for COVID-19. Among a total of 905 patients tested by real-time RT-PCR assay and next-generation sequencing RT-PCR, 419 (46.3%) tested positive for SARS-CoV-2. In a test set of 279 patients, the AI system achieved an area under the curve of 0.92 and had equal sensitivity as compared to a senior thoracic radiologist. The AI system also improved the detection of patients who were positive for COVID-19 via RT-PCR who presented with normal CT scans, correctly identifying 17 of 25 (68%) patients, whereas radiologists classified all of these patients as COVID-19 negative. When CT scans and associated clinical history are available, the proposed AI system can help to rapidly diagnose COVID-19 patients. Artificial intelligence algorithms integrating chest computed tomography scans and clinical information can diagnose COVID-19 with similar accuracy as compared to a senior radiologist.","Mei, XY; Lee, HC; Diao, KY; Huang, MQ; Lin, B; Liu, CY; Xie, ZY; Ma, YX; Robson, PM; Chung, M; Bernheim, A; Mani, V; Calcagno, C; Li, KW; Li, SL; Shan, H; Lv, J; Zhao, TT; Xia, JL; Long, QH; Steinberger, S; Jacobi, A; Deyer, T; Luksza, M; Liu, F; Little, BP; Fayad, ZA; Yang, Y",2020,"NATURE MEDICINE"
"DeepStack: Expert-level artificial intelligence in heads-up no-limit poker","Artificial intelligence has seen several breakthroughs in recent years, with games often serving as milestones. A common feature of these games is that players have perfect information. Poker, the quintessential game of imperfect information, is a long-standing challenge problem in artificial intelligence. We introduce DeepStack, an algorithm for imperfect-information settings. It combines recursive reasoning to handle information asymmetry, decomposition to focus computation on the relevant decision, and a formof intuition that is automatically learned from self-play using deep learning. In a study involving 44,000 hands of poker, DeepStack defeated, with statistical significance, professional poker players in heads-up no-limit Texas hold'em. The approach is theoretically sound and is shown to produce strategies that are more difficult to exploit than prior approaches.","Moravcik, M; Schmid, M; Burch, N; Lisy, V; Morrill, D; Bard, N; Davis, T; Waugh, K; Johanson, M; Bowling, M",2017,"SCIENCE"
"Modeling heating and cooling loads by artificial intelligence for energy-efficient building design","The energy performance of buildings was estimated using various data mining techniques, including support vector regression (SVR), artificial neural network (ANN), classification and regression tree, chi-, squared automatic interaction detector, general linear regression, and ensemble inference model. The prediction models were constructed using 768 experimental datasets from the literature with 8 input parameters and 2 output parameters (cooling load (CL) and heating load (HL)). Comparison results showed that the ensemble approach (SVR +ANN) and SVR were the best models for predicting CL and HL, respectively, with mean absolute percentage errors below 4%. Compared to previous works, the ensemble model and SVR model further obtained at least 39.0% to 65.9% lower root mean square errors, respectively, for CL and HL prediction. This study confirms the efficiency, effectiveness, and accuracy of the proposed approach when predicting CL and HL in building design stage. The analytical results support the feasibility of using the proposed techniques to facilitate early designs of energy conserving buildings. (C) 2014 Elsevier B.V. All rights reserved.","Chou, JS; Bui, DK",2014,"ENERGY AND BUILDINGS"
"An artificial intelligence-enabled ECG algorithm for the identification of patients with atrial fibrillation during sinus rhythm: a retrospective analysis of outcome prediction","Background Atrial fibrillation is frequently asymptomatic and thus underdetected but is associated with stroke, heart failure, and death. Existing screening methods require prolonged monitoring and are limited by cost and low yield. We aimed to develop a rapid, inexpensive, point-of-care means of identifying patients with atrial fibrillation using machine learning. Methods We developed an artificial intelligence (AI)-enabled electrocardiograph (ECG) using a convolutional neural network to detect the electrocardiographic signature of atrial fibrillation present during normal sinus rhythm using standard 10-second, 12-lead ECGs. We included all patients aged 18 years or older with at least one digital, normal sinus rhythm, standard 10-second, 12-lead ECG acquired in the supine position at the Mayo Clinic ECG laboratory between Dec 31, 1993, and July 21, 2017, with rhythm labels validated by trained personnel under cardiologist supervision. We classified patients with at least one ECG with a rhythm of atrial fibrillation or atrial flutter as positive for atrial fibrillation. We allocated ECGs to the training, internal validation, and testing datasets in a 7: 1: 2 ratio. We calculated the area under the curve (AUC) of the receiver operatoring characteristic curve for the internal validation dataset to select a probability threshold, which we applied to the testing dataset. We evaluated model performance on the testing dataset by calculating the AUC and the accuracy, sensitivity, specificity, and F1 score with two-sided 95% CIs. Findings We included 180 922 patients with 649 931 normal sinus rhythm ECGs for analysis: 454 789 ECGs recorded from 126 526 patients in the training dataset, 64 340 ECGs from 18 116 patients in the internal validation dataset, and 130 802 ECGs from 36 280 patients in the testing dataset. 3051 (8.4%) patients in the testing dataset had verified atrial fibrillation before the normal sinus rhythm ECG tested by the model. A single AI-enabled ECG identified atrial fibrillation with an AUC of 0.87 (95% CI 0.86-0.88), sensitivity of 79.0% (77.5-80.4), specificity of 79.5% (79.0-79.9), F1 score of 39.2% (38.1-40.3), and overall accuracy of 79.4% (79.0-79.9). Including all ECGs acquired during the first month of each patient's window of interest (ie, the study start date or 31 days before the first recorded atrial fibrillation ECG) increased the AUC to 0.90 (0.90-0.91), sensitivity to 82.3% (80.9-83.6), specificity to 83.4% (83.0-83.8), F1 score to 45.4% (44.2-46.5), and overall accuracy to 83.3% (83.0-83.7). Interpretation An AI-enabled ECG acquired during normal sinus rhythm permits identification at point of care of individuals with atrial fibrillation. Copyright (c) 2019 Elsevier Ltd. All rights reserved.","Attia, ZI; Noseworthy, PA; Lopez-Jimenez, F; Asirvatham, SJ; Deshmukh, AJ; Gersh, BJ; Carter, RE; Yao, XX; Rabinstein, AA; Erickson, BJ; Kapa, S; Friedman, PA",2019,"LANCET"
"v Machine learning & artificial intelligence in the quantum domain: a review of recent progress","Quantum information technologies, on the one hand, and intelligent learning systems, on the other, are both emergent technologies that are likely to have a transformative impact on our society in the future. The respective underlying fields of basic research-quantum information versus machine learning (ML) and artificial intelligence (AI)-have their own specific questions and challenges, which have hitherto been investigated largely independently. However, in a growing body of recent work, researchers have been probing the question of the extent to which these fields can indeed learn and benefit from each other. Quantum ML explores the interaction between quantum computing and ML, investigating how results and techniques from one field can be used to solve the problems of the other. Recently we have witnessed significant breakthroughs in both directions of influence. For instance, quantum computing is finding a vital application in providing speed-ups for ML problems, critical in our ` big data' world. Conversely, ML already permeates many cutting-edge technologies and may become instrumental in advanced quantum technologies. Aside from quantum speed-up in data analysis, or classical ML optimization used in quantum experiments, quantum enhancements have also been (theoretically) demonstrated for interactive learning tasks, highlighting the potential of quantum-enhanced learning agents. Finally, works exploring the use of AI for the very design of quantum experiments and for performing parts of genuine research autonomously, have reported their first successes. Beyond the topics of mutual enhancement-exploring what ML/AI can do for quantum physics and vice versaresearchers have also broached the fundamental issue of quantum generalizations of learning and AI concepts. This deals with questions of the very meaning of learning and intelligence in a world that is fully described by quantum mechanics. In this review, we describe the main ideas, recent developments and progress in a broad spectrum of research investigating ML and AI in the quantum domain.","Dunjko, V; Briegel, HJ",2018,"REPORTS ON PROGRESS IN PHYSICS"
"Artificial intelligence in retina","Major advances in diagnostic technologies are offering unprecedented insight into the condition of the retina and beyond ocular disease. Digital images providing millions of morphological datasets can fast and non-invasively be analyzed in a comprehensive manner using artificial intelligence (AI). Methods based on machine learning (ML) and particularly deep learning (DL) are able to identify, localize and quantify pathological features in almost every macular and retinal disease. Convolutional neural networks thereby mimic the path of the human brain for object recognition through learning of pathological features from training sets, supervised ML, or even extrapolation from patterns recognized independently, unsupervised ML. The methods of AI-based retinal analyses are diverse and differ widely in their applicability, interpretability and reliability in different datasets and diseases. Fully automated AI-based systems have recently been approved for screening of diabetic retinopathy (DR). The overall potential of ML/DL includes screening, diagnostic grading as well as guidance of therapy with automated detection of disease activity, recurrences, quantification of therapeutic effects and identification of relevant targets for novel therapeutic approaches. Prediction and prognostic conclusions further expand the potential benefit of AI in retina which will enable personalized health care as well as large scale management and will empower the ophthalmologist to provide high quality diagnosis/therapy and successfully deal with the complexity of 21st century ophthalmology.","Schmidt-Erfurth, U; Sadeghipour, A; Gerendas, BS; Waldstein, SM; Bogunovic, H",2018,"PROGRESS IN RETINAL AND EYE RESEARCH"
"Hybrid artificial intelligence approach based on neural fuzzy inference model and metaheuristic optimization for flood susceptibilitgy modeling in a high-frequency tropical cyclone area using GIS","This paper proposes a new artificial intelligence approach based on neural fuzzy inference system and metaheuristic optimization for flood susceptibility modeling, namely MONF. In the new approach, the neural fuzzy inference system was used to create an initial flood susceptibility model and then the model was optimized using two metaheuristic algorithms, Evolutionary Genetic and Particle Swarm Optimization. A high-frequency tropical cyclone area of the Tuong Duong district in Central Vietnam was used as a case study. First, a GIS database for the study area was constructed. The database that includes 76 historical flood inundated areas and ten flood influencing factors was used to develop and validate the proposed model. Root Mean Square Error (RMSE), Mean Absolute Error (MAE), Receiver Operating Characteristic (ROC) curve, and area under the ROC curve (AUC) were used to assess the model performance and its prediction capability. Experimental results showed that the proposed model has high performance on both the training (RMSE = 0.306, MAE = 0.094, AUC = 0.962) and validation dataset (RMSE = 0.362, MAE = 0.130, AUC = 0.911). The usability of the proposed model was evaluated by comparing with those obtained from state-of-the art benchmark soft computing techniques such as J48 Decision Tree, Random Forest, Multi-layer Perceptron Neural Network, Support Vector Machine, and Adaptive Neuro Fuzzy Inference System. The results show that the proposed MONF model outperforms the above benchmark models; we conclude that the MONF model is a new alternative tool that should be used in flood susceptibility mapping. The result in this study is useful for planners and decision makers for sustainable management of flood-prone areas. (C) 2016 Elsevier B.V. All rights reserved.","Bui, DT; Pradhan, B; Nampak, H; Bui, QT; Tran, QA; Nguyen, QP",2016,"JOURNAL OF HYDROLOGY"
"Densities of ammonium and phosphonium based deep eutectic solvents: Prediction using artificial intelligence and group contribution techniques","As applications of deep eutectic solvents are growing fast as green alternatives, prediction of physical properties data for such systems becomes a necessity for engineering application designs and new process developments. In this study, densities of three classes of deep eutectic solvents, based on a phosphonium and two ammonium salts, were measured. Two predictive models based on artificial intelligence and group contribution methods were proposed for accurate estimation and evaluation of deep eutectic solvent densities. A feed forward back propagation neural network with 9 hidden neurons was successfully developed and trained with the measured density data. The group contribution method applied the modified Lydersen-Joback-Reid, Lee-Kesler and the modified Rackett equations. The comparison of the predicted densities with those obtained by measurement confirmed the reliability of the neural network and the group contribution method with average absolute errors of 0.14 and 2.03%, respectively. Comparison of the model performances indicated a better predictability of the developed neural network over the group contribution method. (C) 2011 Elsevier B.V. All rights reserved.","Shahbaz, K; Baroutian, S; Mjalli, FS; Hashim, MA; AlNashef, IM",2012,"THERMOCHIMICA ACTA"
"Real-Time Use of Artificial Intelligence in Identification of Diminutive Polyps During Colonoscopy A Prospective Study","Background: Computer-aided diagnosis (CAD) for colonoscopy may help endoscopists distinguish neoplastic polyps (adenomas) requiring resection from nonneoplastic polyps not requiring resection, potentially reducing cost. Objective: To evaluate the performance of real-time CAD with endocytoscopes (x520 ultramagnifying colonoscopes providing microvascular and cellular visualization of colorectal polyps after application of the narrow-band imaging [NBI] and methylene blue staining modes, respectively). Design: Single-group, open-label, prospective study. (UMIN [University hospital Medical Information Network] Clinical Trial Registry: UMIN000027360). Setting: University hospital. Participants: 791 consecutive patients undergoing colonoscopy and 23 endoscopists. Intervention: Real-time use of CAD during colonoscopy. Measurements: CAD-predicted pathology (neoplastic or nonneoplastic) of detected diminutive polyps (5 mm) on the basis of real-time outputs compared with pathologic diagnosis of the resected specimen (gold standard). The primary end point was whether CAD with the stained mode produced a negative predictive value (NPV) of 90% or greater for identifying diminutive rectosigmoid adenomas, the threshold required to ""diagnose-and-leave"" nonneoplastic polyps. Best- and worst-case scenarios assumed that polyps lacking either CAD diagnosis or pathology were true- or false-positive or true- or false-negative, respectively. Results: Overall, 466 diminutive (including 250 rectosigmoid) polyps from 325 patients were assessed by CAD, with a pathologic prediction rate of 98.1% (457 of 466). The NPVs of CAD for diminutive rectosigmoid adenomas were 96.4% (95% CI, 91.8% to 98.8%) (best-case scenario) and 93.7% (CI, 88.3% to 97.1%) (worst-case scenario) with stained mode and 96.5% (CI, 92.1% to 98.9%) (best-case scenario) and 95.2% (CI, 90.3% to 98.0%) (worst-case scenario) with NBI. Limitation: Two thirds of the colonoscopies were conducted by experts who had each experienced more than 200 endocytoscopies; 186 polyps not assessed by CAD were excluded. Conclusion: Real-time CAD can achieve the performance level required for a diagnose-and-leave strategy for diminutive, nonneoplastic rectosigmoid polyps.","Mori, Y; Kudo, SE; Misawa, M; Saito, Y; Ikematsu, H; Hotta, K; Ohtsuka, K; Urushibara, F; Kataoka, S; Ogawa, Y; Maeda, Y; Takeda, K; Nakamura, H; Ichimasa, K; Kudo, T; Hayashi, T; Wakamura, K; Ishida, F; Inoue, H; Itoh, H; Oda, M; Mori, K",2018,"ANNALS OF INTERNAL MEDICINE"
"Unmanned Aerial Vehicles (UAVs) and Artificial Intelligence Revolutionizing Wildlife Monitoring and Conservation","Surveying threatened and invasive species to obtain accurate population estimates is an important but challenging task that requires a considerable investment in time and resources. Estimates using existing ground-based monitoring techniques, such as camera traps and surveys performed on foot, are known to be resource intensive, potentially inaccurate and imprecise, and difficult to validate. Recent developments in unmanned aerial vehicles (UAV), artificial intelligence and miniaturized thermal imaging systems represent a new opportunity for wildlife experts to inexpensively survey relatively large areas. The system presented in this paper includes thermal image acquisition as well as a video processing pipeline to perform object detection, classification and tracking of wildlife in forest or open areas. The system is tested on thermal video data from ground based and test flight footage, and is found to be able to detect all the target wildlife located in the surveyed area. The system is flexible in that the user can readily define the types of objects to classify and the object characteristics that should be considered during classification.","Gonzalez, LF; Montes, GA; Puig, E; Johnson, S; Mengersen, K; Gaston, KJ",2016,"SENSORS"
"A Survey of Artificial Intelligence for Cognitive Radios","Cognitive radio (CR) is an enabling technology for numerous new capabilities such as dynamic spectrum access, spectrum markets, and self-organizing networks. To realize this diverse set of applications, CR researchers leverage a variety of artificial intelligence (AI) techniques. To help researchers better understand the practical implications of AI to their CR designs, this paper reviews several CR implementations that used the following AI techniques: artificial neural networks (ANNs), meta-heuristic algorithms, hidden Markov models (HMMs), rule-based systems, ontology-based systems (OBSs), and case-based systems (CBSs). Factors that influence the choice of AI techniques, such as responsiveness, complexity, security, robustness, and stability, are discussed. To provide readers with a more concrete understanding, these factors are illustrated in an extended discussion of two CR designs.","He, A; Bae, KK; Newman, TR; Gaeddert, J; Kim, K; Menon, R; Morales-Tirado, L; Neel, J; Zhao, YP; Reed, JH; Tranter, WH",2010,"IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY"
"A comparison of various artificial intelligence approaches performance for estimating suspended sediment load of river systems: a case study in United States","Accurate and reliable suspended sediment load (SSL) prediction models are necessary for planning and management of water resource structures. More recently, soft computing techniques have been used in hydrological and environmental modeling. The present paper compared the accuracy of three different soft computing methods, namely, artificial neural networks (ANNs), adaptive neuro-fuzzy inference system (ANFIS), coupled wavelet and neural network (WANN), and conventional sediment rating curve (SRC) approaches for estimating the daily SSL in two gauging stations in the USA. The performances of these models were measured by the coefficient of correlation (R), Nash-Sutcliffe efficiency coefficient (CE), rootmean- square error (RMSE), and mean absolute percentage error (MAPE) to choose the best fit model. Obtained results demonstrated that applied soft computing models were in good agreement with the observed SSL values, while they depicted better results than the conventional SRC method. The comparison of estimation accuracies of various models illustrated that the WANN was the most accurate model in SSL estimation in comparison to other models. For example, in Flathead River station, the determination coefficient was 0.91 for the best WANN model, while it was 0.65, 0.75, and 0.481 for the best ANN, ANFIS, and SRC models, and also in the Santa Clara River, amounts of this statistical criteria was 0.92 for the bestWANN model, while it was 0.76, 0.78, and 0.39 for the best ANN, ANFIS, and SRC models, respectively. Also, the values of cumulative suspended sediment load computed by the bestWANN model were closer to the observed data than the other models. In general, results indicated that the WANN model could satisfactorily mimic phenomenon, acceptably estimate cumulative SSL, and reasonably predict peak SSL values.","Olyaie, E; Banejad, H; Chau, KW; Melesse, AM",2015,"ENVIRONMENTAL MONITORING AND ASSESSMENT"
"Artificial Intelligence and Big Data","","O'Leary, DE",2013,"IEEE INTELLIGENT SYSTEMS"
"Artificial Intelligence in Surgery: Promises and Perils","Objective: The aim of this review was to summarize major topics in artificial intelligence (AI), including their applications and limitations in surgery. This paper reviews the key capabilities of AI to help surgeons understand and critically evaluate new AI applications and to contribute to new developments. Summary Background Data: AI is composed of various subfields that each provide potential solutions to clinical problems. Each of the core subfields of AI reviewed in this piece has also been used in other industries such as the autonomous car, social networks, and deep learning computers. Methods: A review of AI papers across computer science, statistics, and medical sources was conducted to identify key concepts and techniques within AI that are driving innovation across industries, including surgery. Limitations and challenges of working with AI were also reviewed. Results: Four main subfields of AI were defined: (1) machine learning, (2) artificial neural networks, (3) natural language processing, and (4) computer vision. Their current and future applications to surgical practice were introduced, including big data analytics and clinical decision support systems. The implications of AI for surgeons and the role of surgeons in advancing the technology to optimize clinical effectiveness were discussed. Conclusions: Surgeons are well positioned to help integrate AI into modern practice. Surgeons should partner with data scientists to capture data across phases of care and to provide clinical context, for AI has the potential to revolutionize the way surgery is taught and practiced with the promise of a future optimized for the highest quality patient care.","Hashimoto, DA; Rosman, G; Rus, D; Meireles, OR",2018,"ANNALS OF SURGERY"
